Fecha,Año,Activo,Retorno_raw,Retorno_%,Decision,Mu_esperado,Sigma_incertidumbre,UCB_score
2018-09-28,2018,ANET,-0.0548784393401976,-5.49%,❌ mala,0.1592271306553412,0.093333182530221,0.3458934957157833
2018-10-05,2018,MTCH,-0.0326960609106158,-3.27%,❌ mala,0.191726544846686,0.0879729831766022,0.3676725111998906
2018-10-12,2018,SMCI,0.0755148572875659,7.55%,✅ buena,0.2235286196092991,0.0972002065722488,0.4179290327537968
2018-10-19,2018,PODD,-0.0471709212716406,-4.72%,❌ mala,0.2582854835938919,0.1250420877795751,0.5083696591530422
2018-10-26,2018,SMCI,-0.0451389268316589,-4.51%,❌ mala,0.3121691503141601,0.1243684297488583,0.5609060098118768
2018-11-02,2018,AMD,0.0395452873213828,3.95%,✅ buena,0.3822771432852943,0.1873737180313971,0.7570245793480885
2018-11-09,2018,AMD,-0.0175939527889962,-1.76%,❌ mala,0.3847797356834055,0.1446790400838989,0.6741378158512032
2018-11-16,2018,AMD,-0.0619555031993788,-6.20%,❌ mala,0.331520847213816,0.1080476934566218,0.5476162341270596
2018-11-23,2018,PCG,0.1065435360300608,10.65%,✅ buena,0.3140526655735542,0.1141525632257435,0.5423577920250413
2018-11-30,2018,PCG,-0.0223653952222587,-2.24%,❌ mala,0.3153721064595696,0.1130617743824906,0.5414956552245509
2018-12-07,2018,PCG,0.0085305634445271,0.85%,✅ buena,0.3283436931574166,0.1067179767750175,0.5417796467074517
2018-12-14,2018,AMD,-0.1492461995119296,-14.92%,❌ mala,0.3788169527893752,0.116323238099154,0.6114634289876832
2018-12-21,2018,MU,0.0412267350505777,4.12%,✅ buena,0.3332922647601585,0.1096055933771411,0.5525034515144407
2018-12-28,2018,WYNN,0.1061293959246654,10.61%,✅ buena,0.4193213764385366,0.1447710992404671,0.7088635749194709
2019-01-04,2019,WYNN,0.0556897825598692,5.57%,✅ buena,0.4273325168601953,0.1475182606770386,0.7223690382142727
2019-01-11,2019,MU,-0.0069425956865226,-0.69%,❌ mala,0.3880588811282093,0.1100129559709024,0.6080847930700142
2019-01-18,2019,WYNN,0.0290850200816636,2.91%,✅ buena,0.4457039474489696,0.1207152275428165,0.6871344025346027
2019-01-25,2019,NFLX,0.0053246650954243,0.53%,✅ buena,0.3572440094153664,0.1661713957029822,0.6895868008213308
2019-02-01,2019,PCG,0.0856268698129998,8.56%,✅ buena,0.5766474297914255,0.1687157008470683,0.914078831485562
2019-02-08,2019,PCG,0.0901407271821586,9.01%,✅ buena,0.6190220323597917,0.1602996890234972,0.9396214104067862
2019-02-15,2019,PCG,0.2125322901599224,21.25%,✅ buena,0.6817231056191146,0.1612659098788583,1.0042549253768311
2019-02-22,2019,PCG,-0.0458178232689411,-4.58%,❌ mala,0.6633019289700752,0.2040377536133757,1.071377436196827
2019-03-01,2019,PCG,0.0826354513695422,8.26%,✅ buena,0.7643663639585407,0.1753084501454331,1.1149832642494069
2019-03-08,2019,PCG,0.0134091253977217,1.34%,✅ buena,0.8641995077701123,0.1652914191101,1.1947823459903124
2019-03-15,2019,PCG,-0.011704919954765,-1.17%,❌ mala,0.8747027584808726,0.1555009815500127,1.185704721580898
2019-03-22,2019,PCG,-0.0834190927865288,-8.34%,❌ mala,0.9634832013609312,0.1558775193497674,1.275238240060466
2019-03-29,2019,PCG,0.0882021661369856,8.82%,✅ buena,1.0354451454646958,0.1584829956395433,1.3524111367437823
2019-04-05,2019,PCG,0.1915331714323851,19.15%,✅ buena,0.9722130805023996,0.1393078898207874,1.2508288601439743
2019-04-12,2019,PCG,-0.0901211708233317,-9.01%,❌ mala,1.0345258441226666,0.1409579428245072,1.316441729771681
2019-04-19,2019,PCG,0.1147618192267354,11.48%,✅ buena,0.98893217346737,0.1344102420585516,1.2577526575844733
2019-04-26,2019,PCG,-0.0820162951892976,-8.20%,❌ mala,0.978604029091222,0.1259212010675345,1.2304464312262913
2019-05-03,2019,PCG,-0.1344808359991776,-13.45%,❌ mala,1.019841843611768,0.1272751081764891,1.2743920599647462
2019-05-10,2019,PCG,-0.0849463713025369,-8.49%,❌ mala,0.9139284413459664,0.1100556684363741,1.1340397782187148
2019-05-17,2019,PCG,0.1063451680548901,10.63%,✅ buena,0.9417932018359628,0.1187420868885577,1.1792773756130783
2019-05-24,2019,PCG,-0.0918744469314455,-9.19%,❌ mala,0.949838797735472,0.1181633014828274,1.1861654007011266
2019-05-31,2019,PCG,0.1964911298847016,19.65%,✅ buena,0.8041295888210183,0.1047600054460545,1.0136495997131274
2019-06-07,2019,PCG,-0.096774382156744,-9.68%,❌ mala,0.8560953632766946,0.1203988777462239,1.0968931187691424
2019-06-14,2019,PCG,0.2424244006185143,24.24%,✅ buena,0.9512690147248412,0.1198094147817147,1.1908878442882709
2019-06-21,2019,PCG,-0.001742147688005,-0.17%,❌ mala,0.8690004318594546,0.1084287965932767,1.085858025046008
2019-06-28,2019,PCG,-0.0493018363829999,-4.93%,❌ mala,0.927093557530124,0.1161304483526924,1.1593544542355088
2019-07-05,2019,PCG,-0.1096834891853971,-10.97%,❌ mala,0.853929134597319,0.1139684343333193,1.0818660032639578
2019-07-12,2019,PCG,-0.0829896185897668,-8.30%,❌ mala,0.7406129523356471,0.0908482265170536,0.9223094053697544
2019-07-19,2019,WDC,0.0770111371756152,7.70%,✅ buena,0.3691661360024831,0.1135217832485058,0.5962097024994949
2019-07-26,2019,PCG,-0.0053471941057049,-0.53%,❌ mala,0.3768998432193327,0.0784703811467598,0.5338406055128524
2019-08-02,2019,MU,-0.0580763132583722,-5.81%,❌ mala,0.3568720403571119,0.0859326955082303,0.5287374313735725
2019-08-09,2019,WDC,0.0171394773459778,1.71%,✅ buena,0.3678814448420633,0.0750792964388251,0.5180400377197135
2019-08-16,2019,WDC,-0.0101465987766783,-1.01%,❌ mala,0.3973987955307383,0.0909416103928676,0.5792820163164737
2019-08-23,2019,MU,0.0537711560146014,5.38%,✅ buena,0.4717919617559429,0.0911408838691633,0.6540737294942698
